image,label
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01440764_tench.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01443537_goldfish.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01484850_great_white_shark.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01491361_tiger_shark.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01494475_hammerhead.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01496331_electric_ray.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01498041_stingray.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01514668_cock.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01514859_hen.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01518878_ostrich.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01530575_brambling.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01531178_goldfinch.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01532829_house_finch.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01534433_junco.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01537544_indigo_bunting.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01558993_robin.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01560419_bulbul.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01580077_jay.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01582220_magpie.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01592084_chickadee.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01601694_water_ouzel.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01608432_kite.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01614925_bald_eagle.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01616318_vulture.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01622779_great_grey_owl.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01629819_European_fire_salamander.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01630670_common_newt.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01631663_eft.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01632458_spotted_salamander.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01632777_axolotl.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01641577_bullfrog.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01644373_tree_frog.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01644900_tailed_frog.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01664065_loggerhead.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01665541_leatherback_turtle.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01667114_mud_turtle.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01667778_terrapin.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01669191_box_turtle.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01675722_banded_gecko.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01677366_common_iguana.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01682714_American_chameleon.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01685808_whiptail.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01687978_agama.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01688243_frilled_lizard.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01689811_alligator_lizard.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01692333_Gila_monster.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01693334_green_lizard.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01694178_African_chameleon.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01695060_Komodo_dragon.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01697457_African_crocodile.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01698640_American_alligator.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01704323_triceratops.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01728572_thunder_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01728920_ringneck_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01729322_hognose_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01729977_green_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01734418_king_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01735189_garter_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01737021_water_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01739381_vine_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01740131_night_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01742172_boa_constrictor.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01744401_rock_python.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01748264_Indian_cobra.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01749939_green_mamba.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01751748_sea_snake.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01753488_horned_viper.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01755581_diamondback.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01756291_sidewinder.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01768244_trilobite.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01770081_harvestman.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01770393_scorpion.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01773157_black_and_gold_garden_spider.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01773549_barn_spider.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01773797_garden_spider.JPEG,animal
https://raw.githubusercontent.com/phurwicz/imagenet-sample-images/master/n01774384_black_widow.JPEG,animal
